date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:31	23651/23651	---M-Z	200	added ('OK')	text/html	etag:%22b460086-5ac9-56eb346ba12c2-gzip%22	https://wireless-experts.com/joinemail.html	/Users/macadmin/websites/test2/wireless-experts.com/joinemail.html	(from https://wireless-experts.com/index.html)
17:09:31	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	/Users/macadmin/websites/test2/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://wireless-experts.com/index.html)
17:09:33	95962/95962	---M--	200	added ('OK')	application/javascript	etag:%22b5618dd-176da-56eb34f0e8cdb%22	https://wireless-experts.com/js/jquery-1.11.3.min.js	/Users/macadmin/websites/test2/wireless-experts.com/js/jquery-1.11.3.min.js	(from https://wireless-experts.com/sitemap.html)
17:09:33	1082/1082	---M--	200	added ('OK')	text/css	etag:%22b4c157f-43a-56eb34a13e9d1%22	https://wireless-experts.com/css/accordion.css	/Users/macadmin/websites/test2/wireless-experts.com/css/accordion.css	(from https://wireless-experts.com/sitemap.html)
17:09:35	112567/112567	---M--	200	added ('OK')	image/png	etag:%22b560041-1b7b7-56eb380510941%22	https://wireless-experts.com/images/png/source%20components/source-components_thumbnail.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/source%20components/source-components_thumbnail.png	(from https://wireless-experts.com/sitemap.html)
17:09:35	8710/8710	---M-Z	200	added ('OK')	text/html	etag:%22b4600e6-206c-56eb34986016e-gzip%22	https://wireless-experts.com/sourceComponents.html	/Users/macadmin/websites/test2/wireless-experts.com/sourceComponents.html	(from https://wireless-experts.com/sitemap.html)
17:09:36	12490/12490	---M-Z	200	added ('OK')	text/html	etag:%22b46009d-2f30-56eb347567e04-gzip%22	https://wireless-experts.com/muse.html	/Users/macadmin/websites/test2/wireless-experts.com/muse.html	(from https://wireless-experts.com/sitemap.html)
17:09:38	7686/7686	---M-Z	200	added ('OK')	text/html	etag:%22b4600ef-1c6c-56eb349c1c26a-gzip%22	https://wireless-experts.com/tuners.html	/Users/macadmin/websites/test2/wireless-experts.com/tuners.html	(from https://wireless-experts.com/sitemap.html)
17:09:38	12016/12016	---M-Z	200	added ('OK')	text/html	etag:%22b4600f1-2d56-56eb349fa9d35-gzip%22	https://wireless-experts.com/tunr1.html	/Users/macadmin/websites/test2/wireless-experts.com/tunr1.html	(from https://wireless-experts.com/sitemap.html)
17:09:39	12393/12393	---M-Z	200	added ('OK')	text/html	etag:%22b460069-2ecf-56eb345f87016-gzip%22	https://wireless-experts.com/digitaltuner.html	/Users/macadmin/websites/test2/wireless-experts.com/digitaltuner.html	(from https://wireless-experts.com/sitemap.html)
17:09:40	58446/58446	---M--	200	added ('OK')	image/png	etag:%22b560043-e44e-56eb3805998ad%22	https://wireless-experts.com/images/png/speakers/speakers_thumbnail.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/speakers/speakers_thumbnail.png	(from https://wireless-experts.com/sitemap.html)
17:09:41	9513/9513	---M-Z	200	added ('OK')	text/html	etag:%22b46006a-238f-56eb345fed0e9-gzip%22	https://wireless-experts.com/directionalSpeakers.html	/Users/macadmin/websites/test2/wireless-experts.com/directionalSpeakers.html	(from https://wireless-experts.com/sitemap.html)
17:09:42	14444/14444	---M-Z	200	added ('OK')	text/html	etag:%22b46008a-36d2-56eb346d8dda1-gzip%22	https://wireless-experts.com/Linearrays.html	/Users/macadmin/websites/test2/wireless-experts.com/Linearrays.html	(from https://wireless-experts.com/sitemap.html)
17:09:43	14607/14607	---M-Z	200	added ('OK')	text/html	etag:%22b4600b0-3775-56eb3481d7bcb-gzip%22	https://wireless-experts.com/pha-4.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-4.html	(from https://wireless-experts.com/sitemap.html)
17:09:44	13900/13900	---M-Z	200	added ('OK')	text/html	etag:%22b4600b3-34b2-56eb348319074-gzip%22	https://wireless-experts.com/pha-8.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-8.html	(from https://wireless-experts.com/sitemap.html)
17:09:45	14140/14140	---M-Z	200	added ('OK')	text/html	etag:%22b4600ac-35a2-56eb34802bc16-gzip%22	https://wireless-experts.com/pha-16.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-16.html	(from https://wireless-experts.com/sitemap.html)
17:09:46	13979/13979	---M-Z	200	added ('OK')	text/html	etag:%22b4600ae-3501-56eb3480e1274-gzip%22	https://wireless-experts.com/pha-25.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-25.html	(from https://wireless-experts.com/sitemap.html)
17:09:47	13520/13520	---M-Z	200	added ('OK')	text/html	etag:%22b4600ad-3336-56eb348093071-gzip%22	https://wireless-experts.com/pha-184.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-184.html	(from https://wireless-experts.com/sitemap.html)
17:09:48	13496/13496	---M-Z	200	added ('OK')	text/html	etag:%22b4600af-331e-56eb348167eb8-gzip%22	https://wireless-experts.com/pha-264.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-264.html	(from https://wireless-experts.com/sitemap.html)
17:09:49	14226/14226	---M-Z	200	added ('OK')	text/html	etag:%22b4600b2-35f8-56eb3482aa301-gzip%22	https://wireless-experts.com/pha-5125.html	/Users/macadmin/websites/test2/wireless-experts.com/pha-5125.html	(from https://wireless-experts.com/sitemap.html)
17:09:50	8204/8204	---M-Z	200	added ('OK')	text/html	etag:%22b460058-1e72-56eb34581b555-gzip%22	https://wireless-experts.com/broadDispersion.html	/Users/macadmin/websites/test2/wireless-experts.com/broadDispersion.html	(from https://wireless-experts.com/sitemap.html)
17:09:51	11651/11651	---M-Z	200	added ('OK')	text/html	etag:%22b4600cb-2be9-56eb348cd635e-gzip%22	https://wireless-experts.com/PTS-234WD.html	/Users/macadmin/websites/test2/wireless-experts.com/PTS-234WD.html	(from https://wireless-experts.com/sitemap.html)
17:09:52	12169/12169	---M-Z	200	added ('OK')	text/html	etag:%22b4600cc-2def-56eb348d3a109-gzip%22	https://wireless-experts.com/PTS-SMBGM1.html	/Users/macadmin/websites/test2/wireless-experts.com/PTS-SMBGM1.html	(from https://wireless-experts.com/sitemap.html)
17:09:53	7584/7584	---M-Z	200	added ('OK')	text/html	etag:%22b460053-1c06-56eb3454e1665-gzip%22	https://wireless-experts.com/activeSpeakers.html	/Users/macadmin/websites/test2/wireless-experts.com/activeSpeakers.html	(from https://wireless-experts.com/sitemap.html)
17:09:54	12426/12426	---M-Z	200	added ('OK')	text/html	etag:%22b4600ca-2ef0-56eb348c6d3ab-gzip%22	https://wireless-experts.com/PTS-1.html	/Users/macadmin/websites/test2/wireless-experts.com/PTS-1.html	(from https://wireless-experts.com/sitemap.html)
17:09:55	8017/8017	---M-Z	200	added ('OK')	text/html	etag:%22b4600e5-1db7-56eb3497fac53-gzip%22	https://wireless-experts.com/SoundMasking.html	/Users/macadmin/websites/test2/wireless-experts.com/SoundMasking.html	(from https://wireless-experts.com/sitemap.html)
17:09:57	108039/108039	---M--	200	added ('OK')	image/png	etag:%22b560034-1a607-56eb373368925%22	https://wireless-experts.com/images/png/Audio%20Systems/audio-systems_thumbnail.png	/Users/macadmin/websites/test2/wireless-experts.com/images/png/Audio%20Systems/audio-systems_thumbnail.png	(from https://wireless-experts.com/sitemap.html)
17:09:58	8224/8224	---M-Z	200	added ('OK')	text/html	etag:%22b460055-1e86-56eb3455f8745-gzip%22	https://wireless-experts.com/AudioSystems.html	/Users/macadmin/websites/test2/wireless-experts.com/AudioSystems.html	(from https://wireless-experts.com/sitemap.html)
17:09:58	8579/8579	---M-Z	200	added ('OK')	text/html	etag:%22b46006c-1fe9-56eb3460c175f-gzip%22	https://wireless-experts.com/DistributedMusicSystems.html	/Users/macadmin/websites/test2/wireless-experts.com/DistributedMusicSystems.html	(from https://wireless-experts.com/sitemap.html)
17:10:00	14127/14127	---M-Z	200	added ('OK')	text/html	etag:%22b46006e-3595-56eb34618c965-gzip%22	https://wireless-experts.com/DMS-2.1.html	/Users/macadmin/websites/test2/wireless-experts.com/DMS-2.1.html	(from https://wireless-experts.com/sitemap.html)
17:10:00	12659/12659	---M-Z	200	added ('OK')	text/html	etag:%22b46006f-2fd9-56eb3461db338-gzip%22	https://wireless-experts.com/DMS-4.4.html	/Users/macadmin/websites/test2/wireless-experts.com/DMS-4.4.html	(from https://wireless-experts.com/sitemap.html)
17:10:01	10843/10843	---M-Z	200	added ('OK')	text/html	etag:%22b46009e-28c1-56eb3475d38b0-gzip%22	https://wireless-experts.com/PAC-CIS1.html	/Users/macadmin/websites/test2/wireless-experts.com/PAC-CIS1.html	(from https://wireless-experts.com/sitemap.html)
17:10:02	8839/8839	---M-Z	200	added ('OK')	text/html	etag:%22b4600a4-20ed-56eb347cf9e0e-gzip%22	https://wireless-experts.com/PAsystems.html	/Users/macadmin/websites/test2/wireless-experts.com/PAsystems.html	(from https://wireless-experts.com/sitemap.html)
17:10:03	12090/12090	---M-Z	200	added ('OK')	text/html	etag:%22b4600a1-2da0-56eb347bc21bd-gzip%22	https://wireless-experts.com/PAS-5125.html	/Users/macadmin/websites/test2/wireless-experts.com/PAS-5125.html	(from https://wireless-experts.com/sitemap.html)
17:10:04	11321/11321	---M-Z	200	added ('OK')	text/html	etag:%22b4600a2-2a9f-56eb347c28e48-gzip%22	https://wireless-experts.com/pas-8.html	/Users/macadmin/websites/test2/wireless-experts.com/pas-8.html	(from https://wireless-experts.com/sitemap.html)
17:10:05	12194/12194	---M-Z	200	added ('OK')	text/html	etag:%22b4600a3-2e08-56eb347c8e74b-gzip%22	https://wireless-experts.com/pasport.html	/Users/macadmin/websites/test2/wireless-experts.com/pasport.html	(from https://wireless-experts.com/sitemap.html)
17:10:06	11112/11112	---M-Z	200	added ('OK')	text/html	etag:%22b4600c4-29ce-56eb34899f34e-gzip%22	https://wireless-experts.com/PragmaticAudioDistribution.html	/Users/macadmin/websites/test2/wireless-experts.com/PragmaticAudioDistribution.html	(from https://wireless-experts.com/sitemap.html)
17:10:07	11023/11023	---M-Z	200	added ('OK')	text/html	etag:%22b46009f-2975-56eb3476366ba-gzip%22	https://wireless-experts.com/PADS_USB.html	/Users/macadmin/websites/test2/wireless-experts.com/PADS_USB.html	(from https://wireless-experts.com/sitemap.html)
17:10:08	11571/11571	---M-Z	200	added ('OK')	text/html	etag:%22b4600c3-2b99-56eb348950594-gzip%22	https://wireless-experts.com/PPoE.html	/Users/macadmin/websites/test2/wireless-experts.com/PPoE.html	(from https://wireless-experts.com/sitemap.html)
17:10:09	9445/9445	---M-Z	200	added ('OK')	text/html	etag:%22b4600ab-234b-56eb347fc6313-gzip%22	https://wireless-experts.com/PH4.html	/Users/macadmin/websites/test2/wireless-experts.com/PH4.html	(from https://wireless-experts.com/sitemap.html)
17:10:10	9455/9455	---M-Z	200	added ('OK')	text/html	etag:%22b4600aa-2355-56eb347f60a10-gzip%22	https://wireless-experts.com/PH16.html	/Users/macadmin/websites/test2/wireless-experts.com/PH16.html	(from https://wireless-experts.com/sitemap.html)
17:10:11	10444/10444	---M-Z	200	added ('OK')	text/html	etag:%22b46008b-2732-56eb346df696c-gzip%22	https://wireless-experts.com/LSAD-1.html	/Users/macadmin/websites/test2/wireless-experts.com/LSAD-1.html	(from https://wireless-experts.com/sitemap.html)
17:10:12	8874/8874	---M-Z	200	added ('OK')	text/html	etag:%22b4600f2-2110-56eb34a00e698-gzip%22	https://wireless-experts.com/TwistedPairAudioSystem.html	/Users/macadmin/websites/test2/wireless-experts.com/TwistedPairAudioSystem.html	(from https://wireless-experts.com/sitemap.html)
17:10:13	11040/11040	---M-Z	200	added ('OK')	text/html	etag:%22b4600ed-2986-56eb349b500c4-gzip%22	https://wireless-experts.com/TPA.html	/Users/macadmin/websites/test2/wireless-experts.com/TPA.html	(from https://wireless-experts.com/sitemap.html)
17:10:14	10327/10327	---M-Z	200	added ('OK')	text/html	etag:%22b460061-26bd-56eb345bc4d71-gzip%22	https://wireless-experts.com/CC-TPA-USB-35VC.html	/Users/macadmin/websites/test2/wireless-experts.com/CC-TPA-USB-35VC.html	(from https://wireless-experts.com/sitemap.html)
